product_key,product_id,product_name,category,sub_category
1,OFF-TEN-10000025,"Tenex Lockers, Blue",Office Supplies,Storage
2,OFF-SU-10000618,"Acme Trimmer, High Speed",Office Supplies,Supplies
3,OFF-TEN-10001585,"Tenex Box, Single Width",Office Supplies,Storage
4,OFF-PA-10001492,"Enermax Note Cards, Premium",Office Supplies,Paper
5,FUR-FU-10003447,"Eldon Light Bulb, Duo Pack",Furniture,Furnishings
6,OFF-PA-10001968,"Eaton Computer Printout Paper, 8.5 x 11",Office Supplies,Paper
7,TEC-OKI-10002750,"Okidata Inkjet, Wireless",Technology,Machines
8,OFF-AP-10000304,"Hoover Microwave, White",Office Supplies,Appliances
9,TEC-CO-10004182,"Hewlett Wireless Fax, Laser",Technology,Copiers
10,FUR-NOV-10002791,"Novimex Swivel Stool, Set of Two",Furniture,Chairs
11,OFF-ST-10003020,"Tenex Lockers, Industrial",Office Supplies,Storage
12,FUR-TA-10002797,"Chromcraft Round Table, Adjustable Height",Furniture,Tables
13,FUR-BO-10000728,"Dania Corner Shelving, Traditional",Furniture,Bookcases
14,TEC-CO-10000594,"Hewlett Fax and Copier, Laser",Technology,Copiers
15,FUR-CH-10000214,"Hon Rocking Chair, Set of Two",Furniture,Chairs
16,TEC-PH-10002647,"Nokia Headset, VoIP",Technology,Phones
17,OFF-BRE-10003081,"Breville Coffee Grinder, Black",Office Supplies,Appliances
18,TEC-AC-10002881,"Belkin Numeric Keypad, Bluetooth",Technology,Accessories
19,FUR-CH-10000666,"SAFCO Chairmat, Black",Furniture,Chairs
20,OFF-ST-10002066,"Smead File Cart, Blue",Office Supplies,Storage
21,OFF-LA-10003396,"Avery Color Coded Labels, Laser Printer Compatible",Office Supplies,Labels
22,OFF-BIC-10000582,"BIC Sketch Pad, Water Color",Office Supplies,Art
23,OFF-ROG-10004393,"Rogers Folders, Industrial",Office Supplies,Storage
24,OFF-STI-10000388,"Stiletto Scissors, Serrated",Office Supplies,Supplies
25,OFF-CAM-10004338,"Cameo Interoffice Envelope, Set of 50",Office Supplies,Envelopes
26,OFF-FA-10002569,"Stockwell Staples, Metal",Office Supplies,Fasteners
27,OFF-ADV-10000213,"Advantus Rubber Bands, Metal",Office Supplies,Fasteners
28,FUR-BO-10001498,"Dania Classic Bookcase, Pine",Furniture,Bookcases
29,TEC-AC-10001082,"Enermax Keyboard, Bluetooth",Technology,Accessories
30,OFF-EN-10000857,"Jiffy Interoffice Envelope, Set of 50",Office Supplies,Envelopes
31,OFF-AR-10001546,"Binney & Smith Sketch Pad, Easy-Erase",Office Supplies,Art
32,OFF-SU-10003629,"Fiskars Letter Opener, Easy Grip",Office Supplies,Supplies
33,TEC-CO-10002998,"Sharp Ink, Laser",Technology,Copiers
34,OFF-EN-10004956,"Jiffy Interoffice Envelope, Set of 50",Office Supplies,Envelopes
35,FUR-CH-10004827,"SAFCO Chairmat, Black",Furniture,Chairs
36,TEC-AC-10003081,"Memorex Mouse, USB",Technology,Accessories
37,OFF-EN-10002816,"Kraft Peel and Seal, Recycled",Office Supplies,Envelopes
38,OFF-AR-10002485,"Boston Markers, Easy-Erase",Office Supplies,Art
39,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Paper
40,OFF-LA-10000784,"Harbour Creations File Folder Labels, 5000 Label Set",Office Supplies,Labels
41,OFF-ST-10001426,"Eldon Folders, Single Width",Office Supplies,Storage
42,OFF-BOS-10004950,"Boston Pens, Fluorescent",Office Supplies,Art
43,OFF-AVE-10003279,"Avery Hole Reinforcements, Durable",Office Supplies,Binders
44,OFF-AP-10004245,"Hoover Stove, Black",Office Supplies,Appliances
45,OFF-AR-10001291,"Sanford Canvas, Fluorescent",Office Supplies,Art
46,OFF-AR-10000833,"Binney & Smith Pencil Sharpener, Water Color",Office Supplies,Art
47,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage
48,FUR-FU-10000394,"Rubbermaid Photo Frame, Durable",Furniture,Furnishings
49,OFF-LA-10003223,Avery 508,Office Supplies,Labels
50,OFF-BI-10004094,GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders
51,FUR-FU-10000468,"Advantus Frame, Durable",Furniture,Furnishings
52,OFF-ST-10000344,"Fellowes Box, Industrial",Office Supplies,Storage
53,OFF-ST-10001631,"Tenex Trays, Blue",Office Supplies,Storage
54,OFF-FA-10000549,"Advantus Staples, Metal",Office Supplies,Fasteners
55,OFF-PA-10003407,"Enermax Memo Slips, Recycled",Office Supplies,Paper
56,TEC-LOG-10003079,"Logitech Flash Drive, Erganomic",Technology,Accessories
57,OFF-EN-10002166,"Cameo Manila Envelope, with clear poly window",Office Supplies,Envelopes
58,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art
59,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs
