sales_record_id,order_id,customer_id,product_key,order_date,ship_date,ship_mode,market,region,quantity,sales,discount,profit,shipping_cost,order_priority,year
1,AG-2011-2040,1,1,2011-01-01,2011-01-06,Standard Class,Africa,Africa,2,408.0,0.0,106.14,35.46,Medium,2011
2,IN-2011-47883,2,2,2011-01-01,2011-01-08,Standard Class,APAC,Oceania,3,120.0,0.1,36.036,9.72,Medium,2011
3,HU-2011-1220,3,3,2011-01-01,2011-01-05,Second Class,EMEA,EMEA,4,66.0,0.0,29.64,8.17,High,2011
4,IT-2011-3647632,4,4,2011-01-01,2011-01-05,Second Class,EU,North,3,45.0,0.5,-26.055,4.82,High,2011
5,IN-2011-47883,2,5,2011-01-01,2011-01-08,Standard Class,APAC,Oceania,5,114.0,0.1,37.77,4.7,Medium,2011
6,IN-2011-47883,2,6,2011-01-01,2011-01-08,Standard Class,APAC,Oceania,2,55.0,0.1,15.342,1.8,Medium,2011
7,CA-2011-1510,5,7,2011-01-02,2011-01-06,Standard Class,Canada,Canada,1,314.0,0.0,3.12,24.1,Medium,2011
8,IN-2011-79397,6,8,2011-01-03,2011-01-03,Same Day,APAC,Oceania,1,276.0,0.1,110.412,125.32,Critical,2011
9,ID-2011-80230,7,9,2011-01-03,2011-01-09,Standard Class,APAC,Oceania,4,912.0,0.4,-319.464,107.1,Low,2011
10,IZ-2011-4680,8,10,2011-01-03,2011-01-07,Standard Class,EMEA,EMEA,4,667.0,0.0,253.32,81.26,High,2011
11,IN-2011-65159,9,11,2011-01-03,2011-01-07,Second Class,APAC,Southeast Asia,3,338.0,0.45,-122.8005,33.75,High,2011
12,IN-2011-65159,9,12,2011-01-03,2011-01-07,Second Class,APAC,Southeast Asia,1,211.0,0.55,-70.3995,21.32,High,2011
13,ES-2011-4869686,10,13,2011-01-03,2011-01-07,Standard Class,EU,North,7,854.0,0.0,290.43,12.56,Medium,2011
14,IN-2011-33652,11,14,2011-01-03,2011-01-09,Standard Class,APAC,Southeast Asia,1,193.0,0.0,50.13,10.4,Medium,2011
15,ID-2011-80230,7,15,2011-01-03,2011-01-09,Standard Class,APAC,Oceania,2,159.0,0.4,-95.676,10.07,Low,2011
16,MX-2011-160234,12,16,2011-01-03,2011-01-07,Standard Class,LATAM,Central,4,195.0,0.0,44.88,8.43,Medium,2011
17,IR-2011-770,13,17,2011-01-03,2011-01-07,Standard Class,EMEA,EMEA,2,123.0,0.0,42.9,8.41,Medium,2011
18,ID-2011-80230,7,18,2011-01-03,2011-01-09,Standard Class,APAC,Oceania,2,69.0,0.4,3.42,8.34,Low,2011
19,ID-2011-80230,7,19,2011-01-03,2011-01-09,Standard Class,APAC,Oceania,2,69.0,0.4,-26.412,8.17,Low,2011
20,ID-2011-12596,14,20,2011-01-03,2011-01-08,Standard Class,APAC,Southeast Asia,2,135.0,0.47,-45.9018,7.74,Medium,2011
21,IN-2011-79397,6,21,2011-01-03,2011-01-03,Same Day,APAC,Oceania,3,36.0,0.1,4.743,7.46,Critical,2011
22,IR-2011-7690,15,22,2011-01-03,2011-01-08,Second Class,EMEA,EMEA,1,52.0,0.0,7.77,5.91,High,2011
23,IR-2011-770,13,23,2011-01-03,2011-01-07,Standard Class,EMEA,EMEA,2,62.0,0.0,8.7,5.16,Medium,2011
24,TZ-2011-7370,16,24,2011-01-03,2011-01-08,Standard Class,Africa,Africa,4,81.0,0.0,26.76,5.11,Medium,2011
25,IZ-2011-4680,8,25,2011-01-03,2011-01-07,Standard Class,EMEA,EMEA,1,47.0,0.0,17.07,3.57,High,2011
26,IN-2011-65159,9,26,2011-01-03,2011-01-07,Second Class,APAC,Southeast Asia,1,6.0,0.45,0.546,0.8,High,2011
27,IR-2011-770,13,27,2011-01-03,2011-01-07,Standard Class,EMEA,EMEA,1,17.0,0.0,4.17,0.54,Medium,2011
28,MX-2011-111255,17,28,2011-01-04,2011-01-09,Second Class,LATAM,South,6,,0.0,609.84,109.13,Medium,2011
29,MX-2011-140641,18,29,2011-01-04,2011-01-09,Standard Class,LATAM,North,4,223.0,0.0,13.28,42.28,High,2011
30,MX-2011-158771,19,30,2011-01-04,2011-01-11,Standard Class,LATAM,Caribbean,6,186.0,0.0,3.6,16.39,Medium,2011
